4c1000: GL-equivalent to harness Hanner mask 80002000a via T=[5/7,2/7,1/7,-3/7; 3/7,4/7,-5/7,1/7; 5/7,2/7,1/7,4/7; -1/7,-6/7,-3/7,2/7]
3208: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,-1; 0,-1,-1,1; 0,-1,-1,2; 0,1,-1,0]
34010: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 4,3,1,2; 0,0,-1,0; -2,-2,-1,0]
38010: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 6,5,3,2; 0,0,-1,0; -2,-2,-1,0]
38020: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 4,3,3,2; 0,0,-1,0; -2,-2,-1,0]
4000105: B4-equivalent to harness Hanner (8 vertices, mask 4000105)
400010a: B4-equivalent to harness Hanner (8 vertices, mask 800020005)
4000448: GL-equivalent to harness Hanner mask 80002000a via T=[1,1/2,1/4,-1/4; 1,-1/2,-1/4,1/4; 0,1/2,1/4,3/4; 0,1/2,-3/4,-1/4]
4000450: GL-equivalent to harness Hanner mask 80002000a via T=[1,1/2,1/2,0; 1,-1/2,-1/2,0; 0,1/2,-1/2,0; 0,1/2,1/2,1]
4013: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 5,3,2,1; -1,-1,0,-1]
4015: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 3,2,1,1; 1,0,1,-1]
4016: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,1,1,0; 4,3,1,2]
4019: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,1,0,1; 3,1,2,-1]
401a: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,1,1,0; 1,1,0,1]
401c: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,1,1,0; 0,1,-1,2]
4023: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 4,2,2,1; 0,0,0,-1]
4025: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,1,1,1; 2,1,1,-1]
4026: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,1,1,0; 2,1,1,2]
402a: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,1,1,0; 0,0,0,1]
4032: GL-equivalent to harness Hanner mask 80002000a via T=[4,2,1,1; -2,-2,-1,-1; 0,0,0,-1; -4,-2,-2,-1]
4034: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,1; 0,-1,0,-1; 2,1,1,-1; -2,-1,-1,-1]
4038: GL-equivalent to harness Hanner mask 80002000a via T=[0,0,-1,1; 2,0,1,-1; 4,2,2,-1; 0,0,0,-1]
4052: GL-equivalent to harness Hanner mask 80002000a via T=[5/2,1,1/2,1/2; -1/2,-1,-1/2,-1/2; 3/2,1,1/2,-1/2; -5/2,-1,-3/2,-1/2]
4054: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,0,1/2; 1/2,-1/2,0,-1/2; 5/2,3/2,1,-1/2; -3/2,-1/2,-1,-1/2]
4083: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 3,1,2,1; -1,-1,0,-1]
4085: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 2,1,1,1; 0,-1,1,-1]
4086: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,0,1,0; 3,2,1,2]
4089: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,1,0,1; 1,-1,2,-1]
408a: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,0,1,0; 1,1,0,1]
408c: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,0,1,0; 1,2,-1,2]
4098: GL-equivalent to harness Hanner mask 80002000a via T=[2,0,1,-1; 0,0,-1,1; 1,2,-1,2; -1,0,-1,0]
40a4: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,-1; 1,0,0,1; 3,2,1,2; -1,0,-1,0]
40a8: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,-1/2; 0,-1/2,-1/2,1/2; 1,1,0,1; -1,0,-1,0]
40c4: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,0,-1/2; 1/2,-1/2,0,1/2; 2,1,1,1; -1,0,-1,0]
4105: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,0,1,1; 1,0,1,-1]
4106: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,0,1,0; 1,0,1,2]
410a: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,0,1,0; 0,0,0,1]
4114: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,1; 0,-1,0,-1; 1,0,1,-2; -1,0,-1,0]
418010: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 6,5,3,2; -4,-3,-3,-1; 2,1,1,1]
418800: GL-equivalent to harness Hanner mask 80002000a via T=[1/2,0,0,-1/2; 0,1,-1,0; 5/4,1/2,1/2,3/4; -1/4,-1/2,-1/2,1/4]
420022: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -3,-2,-2,-2; 3,3,2,1; 1,1,0,1]
420042: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,0,-1,-1; 2,2,3/2,1/2; 0,0,-1/2,1/2]
420044: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,1,0,-1; 3/2,3/2,1,1/2; -1/2,-1/2,-1,1/2]
4200a0: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -3,-2,-2,-2; 2,2,1,1; 0,0,1,-1]
4200c0: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -2,-1,-2,-1; 3/2,3/2,1,1/2; 1/2,1/2,1,-1/2]
420102: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,0,-1,-1; 1,1,1,0; 1,1,0,1]
420140: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,0,-1,-1; 1,1,1/2,1/2; 1,1,3/2,-1/2]
420204: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,1,0,-1; 1,1,1,0; 0,0,-1,1]
420240: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,1,0,-1; 1/2,1/2,0,1/2; 3/2,3/2,2,-1/2]
420440: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,0,-1,-1; 1,1,1/2,1/2; 0,0,1/2,-1/2]
420600: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1/2,1/2,-1,-1/2; 3/4,3/4,1/2,1/4; -1/4,-1/4,1/2,-3/4]
421002: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,1,-1/2,-1/2; 1/2,1/2,3/4,-1/4; 1/2,1/2,-1/4,3/4]
421040: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,1,0,-1; 1/2,1/2,0,1/2; 1/2,1/2,1,-1/2]
422040: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 0,1,0,-1; -1,-1,-3/2,1/2; -1,-1,-1/2,-1/2]
428040: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; -2,-1,-2,-1; 0,0,-1/2,1/2; -2,-2,-3/2,-1/2]
440104: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,-1; 1,1,1,0; 0,1,-1,1]
440202: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,1/2,-1/2,-1/2; 1,1,1,0; 0,1/2,-1/2,1/2]
4403: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,-1,2,1; -1,-1,0,-1]
440420: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1/2,-1/2,-1/2,-1; 3/4,5/4,1/4,1/2; 1/4,-1/4,3/4,-1/2]
4405: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,0,1,1; -1,-2,1,-1]
4406: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,-1,1,0; 2,1,1,2]
440810: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,-1,1,-2; 1/2,3/2,-1/2,1; 1/2,-1/2,3/2,-1]
440820: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,-1; 1/2,1,0,1/2; 1/2,0,1,-1/2]
4409: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 1,1,0,1; -1,-3,2,-1]
440a: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,-1,1,0; 1,1,0,1]
440c: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,-1,1,0; 2,3,-1,2]
4411: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 1,3/2,-1/2,1; -1,-1/2,-1/2,-1]
4412: GL-equivalent to harness Hanner mask 80002000a via T=[5/2,1,1/2,1/2; -1/2,-1,-1/2,-1/2; -3/2,-1,-1/2,-3/2; 1/2,1,-1/2,1/2]
441400: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,1,-1,0; 1/2,1/2,1/2,0; 0,1,-1,1]
4418: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,0,1/2,-1/2; 1/2,0,-1/2,1/2; 3/2,2,-1/2,3/2; -1/2,0,-1/2,-1/2]
4421: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 1,1,0,1; -1,0,-1,-1]
4422: GL-equivalent to harness Hanner mask 80002000a via T=[3,1,1,1; -1,-1,-1,-1; -3,-1,-2,-3; 1,1,0,1]
4424: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,-1; 1,0,0,1; 3,2,1,3; -1,0,-1,-1]
4430: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 0,1/2,-1/2,0; 2,3/2,1/2,2]
444010: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 0,-1,1,-2; -1,0,-2,1; -1,-2,0,-1]
4444: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,0,-1/2; 1/2,-1/2,0,1/2; 3/2,1/2,1,3/2; -1/2,1/2,-1,-1/2]
4448: GL-equivalent to harness Hanner mask 80002000a via T=[7/4,1/2,1/4,-1/4; 1/4,-1/2,-1/4,1/4; 3/4,1/2,1/4,3/4; -1/4,1/2,-3/4,-1/4]
4450: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 0,1/2,-1/2,0; 1,1/2,1/2,1]
4488: GL-equivalent to harness Hanner mask 80002000a via T=[1,-1,1,-1; 1,1,-1,1; 2,3,-1,2; 0,1,-1,0]
4504: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,-1; 1,0,0,1; 2,1,1,2; 0,1,-1,0]
4508: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,0,1/2,-1/2; 1/2,0,-1/2,1/2; 1,1,0,1; 0,1,-1,0]
4803: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,-2,2,1; 0,0,0,-1]
4805: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,-1,1,1; 0,-1,1,-1]
4806: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,-1,1,0; 0,-1,1,2]
480a: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,0; 0,-1,0,0; 0,-1,1,0; 0,0,0,1]
4811: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 0,1,-1,1; 0,0,0,-1]
4818: GL-equivalent to harness Hanner mask 80002000a via T=[2,0,1,-1; 0,0,-1,1; 0,2,-2,3; 0,0,0,-1]
4821: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 0,1/2,-1/2,1; 0,1/2,-1/2,-1]
4822: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,1/2; 0,-1/2,-1/2,-1/2; 0,1/2,-1/2,-3/2; 0,1/2,-1/2,1/2]
4830: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 0,1/2,-1/2,0; 0,1/2,-1/2,2]
4850: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,0; 0,-1/2,-1/2,0; 0,1/2,-1/2,0; 0,0,0,1]
488020: GL-equivalent to harness Hanner mask 80002000a via T=[1/2,0,0,-1/2; -5/2,-2,-2,-3/2; 5/2,2,1,3/2; -3/2,-2,-1,-1/2]
488040: GL-equivalent to harness Hanner mask 80002000a via T=[1,1/2,1/4,-1/4; -1,-1/2,-5/4,-3/4; 1,1/2,1/4,3/4; -1,-3/2,-3/4,-1/4]
488100: GL-equivalent to harness Hanner mask 80002000a via T=[1/2,0,0,-1/2; -1/2,0,-1,-1/2; 3/2,1,1/2,1; -1/2,-1,-1/2,0]
4882: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,1/2; 0,-1/2,-1/2,-1/2; 0,0,0,-1; 0,1,-1,0]
4884: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,1; 0,-1,0,-1; 0,-1,1,-2; 0,1,-1,0]
489000: GL-equivalent to harness Hanner mask 80002000a via T=[3/4,1/4,1/8,-3/8; 1/4,3/4,-5/8,-1/8; 3/4,1/4,1/8,5/8; -1/4,-3/4,-3/8,1/8]
4c0100: GL-equivalent to harness Hanner mask 80002000a via T=[1/2,0,0,-1/2; 0,0,-1,0; 5/4,1,1/2,3/4; -1/4,-1,-1/2,1/4]
4c02: GL-equivalent to harness Hanner mask 80002000a via T=[2,0,1,1; 0,0,-1,-1; 0,0,0,-1; 0,2,-2,-1]
4c04: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,1; 0,-1,0,-1; 0,-1,1,-1; 0,1,-1,-1]
4c08: GL-equivalent to harness Hanner mask 80002000a via T=[2,2,-1,1; 0,-2,1,-1; 0,-2,2,-1; 0,0,0,-1]
4c10: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,0,1; 0,-1,0,-1; 0,0,0,-1; 0,-1,1,-1]
4c20: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/2,1/2,1; 0,-1/2,-1/2,-1; 0,1/2,-1/2,-1; 0,-1/2,1/2,-1]
50012: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 2,2,1,1; 2,2,1,0; 0,0,-1,0]
50014: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,0,1; 2,2,1,0; 0,0,-1,0]
50022: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,1,1; 2,2,1,0; 0,0,-1,0]
50024: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,1; 2,2,1,0; 0,0,-1,0]
50084: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,0,1; 1,1,1,0; 1,1,-1,0]
50104: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,1; 1,1,1,0; 1,1,-1,0]
50410: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,0,1; 1,1,0,0; 0,0,1,0]
50420: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/2,1/2,1/2,1; 1,1,0,0; 0,0,1,0]
50440: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,1,1; 1,1,0,0; 0,0,1,0]
50820: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,1; 1,1,0,0; 0,0,1,0]
52020: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; -1,-1,-1,1; 0,0,-1,0; -2,-2,-1,0]
52040: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; -2,-2,-1,1; 0,0,-1,0; -2,-2,-1,0]
54010: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 1,1,0,1; 0,0,-1,0; -2,-2,-1,0]
5402: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,0,1/2,1/2; 1/2,0,-1/2,-1/2; 1/2,0,1/2,-1/2; 1/2,2,-3/2,-1/2]
54020: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 0,0,0,1; 0,0,-1,0; -2,-2,-1,0]
5404: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,0,1/2; 1/2,-1/2,0,-1/2; 1/2,-1/2,1,-1/2; 1/2,3/2,-1,-1/2]
5410: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,0,1/2; 1/2,-1/2,0,-1/2; 1/2,1/2,0,-1/2; 1/2,-1/2,1,-1/2]
5420: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/4,1/4,1/2; 1/2,-1/4,-1/4,-1/2; 1/2,3/4,-1/4,-1/2; 1/2,-1/4,3/4,-1/2]
600102: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,-1/2,-1/2; 1/2,1,3/4,-1/4; 1/2,1,-1/4,3/4]
600440: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,-1/2,-1/2; 1/2,1,1/4,1/4; 0,0,1/2,-1/2]
6012: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 7,4,2,2; 3,2,1,0; -1,0,-1,0]
6014: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,0,2; 3,2,1,0; -1,0,-1,0]
6018: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,0,-2,2; 3,2,1,0; -1,0,-1,0]
6022: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 5,2,2,2; 3,2,1,0; -1,0,-1,0]
6028: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -3,-2,-2,2; 3,2,1,0; -1,0,-1,0]
6042: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,0,2,2; 3,2,1,0; -1,0,-1,0]
6044: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2,0,2; 3,2,1,0; -1,0,-1,0]
6048: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -5,-4,-2,2; 3,2,1,0; -1,0,-1,0]
608020: GL-equivalent to harness Hanner mask 80002000a via T=[5/4,1/2,1/2,-1/4; -1/4,-1/2,-1/2,-3/4; 1/4,1/2,-1/2,3/4; -3/4,-3/2,-1/2,-1/4]
608100: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,1/2,-1/2; 0,0,-1/2,-1/2; 1/2,1,-1/2,1; -1/2,-1,-1/2,0]
6084: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,0,2; 2,1,1,0; 0,1,-1,0]
6088: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,2,-2,2; 2,1,1,0; 0,1,-1,0]
6108: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,0,-2,2; 2,1,1,0; 0,1,-1,0]
6208: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -3,-2,-2,2; 2,1,1,0; 0,1,-1,0]
6402: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,0,2,2; 1,0,1,0; 1,2,-1,0]
6404: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,0,2; 1,0,1,0; 1,2,-1,0]
6408: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,4,-2,2; 1,0,1,0; 1,2,-1,0]
6410: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,0,2; 1,1,0,0; 1,0,1,0]
6420: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,1,1,2; 1,1,0,0; 1,0,1,0]
6802: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,-2,2,2; 1,0,1,0; 1,2,-1,0]
6808: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,2,-2,2; 1,0,1,0; 1,2,-1,0]
6810: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,-1,2; 1,1,0,0; 1,0,1,0]
7002: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-4,2,2; 1,0,1,0; 1,2,-1,0]
7004: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2,0,2; 1,0,1,0; 1,2,-1,0]
7008: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,0,-2,2; 1,0,1,0; 1,2,-1,0]
7010: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,0,-2,2; 1,1,0,0; 1,0,1,0]
7020: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-1,-1,2; 1,1,0,0; 1,0,1,0]
80088001: GL-equivalent to harness Hanner mask 80002000a via T=[1,1/2,1/2,0; 0,1/2,-1/2,0; 1,1/2,1/2,1; -1,-3/2,-3/2,-1]
80088008: GL-equivalent to harness Hanner mask 80002000a via T=[3/4,1/4,1/4,-1/4; 1/4,3/4,-1/4,1/4; 3/4,1/4,1/4,3/4; -1/4,-3/4,-3/4,-1/4]
80088010: GL-equivalent to harness Hanner mask 80002000a via T=[1,1/2,1/2,0; 1,3/2,1/2,1; -1,-3/2,-3/2,-1; 1,1/2,1/2,1]
8008a000: GL-equivalent to harness Hanner mask 80002000a via T=[1,1/2,1/2,0; 0,1/2,-1/2,0; 0,-1/2,-1/2,0; 1,1/2,1/2,1]
800c0800: GL-equivalent to harness Hanner mask 80002000a via T=[1/2,0,0,-1/2; 1/4,1/2,-1/2,1/4; 3/4,1/2,1/2,3/4; 1/4,-1/2,-1/2,1/4]
800c2000: GL-equivalent to harness Hanner mask 80002000a via T=[3/4,1/2,1/2,-1/4; 1/4,1/2,-1/2,1/4; 1/4,-1/2,-1/2,1/4; 3/4,1/2,1/2,3/4]
80200440: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,-1/2,-1/2; 0,1,1/2,1/2; 0,0,1/2,-1/2]
80200600: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,1/4,-1/2,-1/4; 0,3/4,1/2,1/4; 0,-1/4,1/2,-3/4]
80202002: GL-equivalent to harness Hanner mask 80002000a via T=[1,1/2,1/4,1/4; 0,1/2,-1/4,-1/4; 0,-1/2,1/4,-3/4; 0,-1/2,-3/4,1/4]
80204040: GL-equivalent to harness Hanner mask 80002000a via T=[1,1/2,1/2,0; 0,1/4,-1/4,-1/2; 0,-1/4,-3/4,1/2; 0,-3/4,-1/4,-1/2]
8020a000: GL-equivalent to harness Hanner mask 80002000a via T=[1,1/2,1/2,0; 0,1/2,-1/2,0; 0,-1/2,-1/2,0; 0,1/2,-1/2,1]
820088: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,1,-1,1; 1,1,1,0; 0,0,0,-1]
820801: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,1,-1,0; 1/2,1/2,1/2,1; 1/2,1/2,1/2,-1]
821400: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,1,-1,0; 1/2,1/2,1/2,0; 0,0,0,1]
880081: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,-1,0; 3/2,2,3/2,1; -1/2,0,-1/2,-1]
880088: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/2,1/2,-1/2,1/2; 3/4,5/4,3/4,1/4; -1/4,1/4,-1/4,-3/4]
880090: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,0,1; 0,1/2,0,-1/2; 2,5/2,2,3/2]
8800c0: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-1,-2,-1; 1,3/2,1,1/2; -1,-1/2,-1,-3/2]
880101: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,-1,0; 1,1,1,1; 0,1,0,-1]
88011: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,1,0; 3,3,1,1; -1,-1,-1,-1]
88018: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,1/2,-1/2; 2,2,1/2,1/2; 0,0,-1/2,-1/2]
88021: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,1,0; 2,2,1,1; 0,0,-1,-1]
880210: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,-1/2,-1,1/2; 1/2,5/4,1/2,-1/4; 1/2,1/4,1/2,3/4]
88024: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,-1; 2,2,1,1; 0,0,-1,-1]
88028: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/2,1/2,1/2,-1/2; 3/2,3/2,1/2,1/2; 1/2,1/2,-1/2,-1/2]
880280: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,-1,0; 1/2,1,1/2,0; 1/2,0,1/2,1]
88030: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,1,0; 1,1,0,0; 3,3,2,2]
88041: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,1,0; 1,1,1,1; 1,1,-1,-1]
880410: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,0,1; 0,1/2,0,-1/2; 1,1,1,1]
88048: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,1/2,-1/2; 1,1,1/2,1/2; 1,1,-1/2,-1/2]
88050: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,1,0; 1,1,0,0; 1,1,1,1]
88060: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,1,0; 1,1,0,0; 1,1,2,2]
880808: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/2,1/2,-1/2,1/2; 1/2,1/2,1/2,1/2; 0,1,0,-1]
88080800: GL-equivalent to harness Hanner mask 80002000a via T=[3/4,1/4,-1/4,1/4; -1/4,1/4,-1/4,-3/4; 1/4,1/4,3/4,-1/4; 1/4,-3/4,-1/4,-1/4]
880c0: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,2,1; 1,1,0,0; -1,-1,-2,-2]
88101: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,1,0; 1,1,1,1; 1,1,-1,-1]
88108: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,1/2,-1/2; 1,1,1/2,1/2; 1,1,-1/2,-1/2]
88110: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,1/2,-1/2; 1,1,0,0; 1,1,1,1]
